"filename", "language", "TypeScript JSX", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "JSON", "PostCSS", "Python", "HTML", "XML", "comment", "blank", "total"
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\App.tsx", "TypeScript JSX", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 187
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\BottomNav.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 51
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\Button.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\DataSeeder.tsx", "TypeScript JSX", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 233
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\FloatingActions.tsx", "TypeScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 101
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\Footer.tsx", "TypeScript JSX", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 102
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\Header.tsx", "TypeScript JSX", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 154
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\ImageGalleryModal.tsx", "TypeScript JSX", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 120
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\ImageUploader.tsx", "TypeScript JSX", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 118
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\LinkPreview.tsx", "TypeScript JSX", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 121
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\ProtectedRoute.tsx", "TypeScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 126
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\SEO.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 130
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\Section.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\admin\AnalyticsChart.tsx", "TypeScript JSX", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 111
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\admin\LeadCard.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 107
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\admin\StatsCard.tsx", "TypeScript JSX", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 95
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\ai\BudgetEstimator.tsx", "TypeScript JSX", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 247
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\ai\StyleFinderQuiz.tsx", "TypeScript JSX", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 248
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\luxury\AnimatedCounter.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 76
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\luxury\BeforeAfterSlider.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 96
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\luxury\BrandingSection.tsx", "TypeScript JSX", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 97
